TPU_ID,YEAR,nearest_mtr_distance,nearest_mtr_station,nearest_mtr_lat,nearest_mtr_lon,mtr_stations_count,has_mtr_station,mtr_proximity_category,within_500m_buffer,within_1000m_buffer,within_2000m_buffer
190,2016,1751.152866435938,Tin Hau,22.2827,114.1917,0,False,Moderate (1-2km),False,False,True
163,2016,885.240384463721,Chai Wan,22.2644,114.2368,0,False,Close (500-1000m),False,True,True
144,2016,1466.2342484990477,Causeway Bay,22.2802,114.1835,0,False,Moderate (1-2km),False,False,True
182,2016,1653.8751554616529,Admiralty,22.278399,114.16433,0,False,Moderate (1-2km),False,False,True
163,2016,531.3173175552407,Chai Wan,22.2644,114.2368,0,False,Close (500-1000m),True,True,True
183,2016,1559.342746754445,Wan Chai,22.2773,114.1728,0,False,Moderate (1-2km),False,False,True
144,2016,1468.4172054026722,Causeway Bay,22.2802,114.1835,0,False,Moderate (1-2km),False,False,True
167,2016,1592.3300676101774,Chai Wan,22.2644,114.2368,0,False,Moderate (1-2km),False,False,True
144,2016,2008.19494105321,Causeway Bay,22.2802,114.1835,0,False,Far (>2km),False,False,True
182,2016,2116.1490248184264,South Horizons,22.2425,114.1491,0,False,Far (>2km),False,False,True
171,2016,2141.504466903346,Kennedy Town,22.2812,114.1285,0,False,Far (>2km),False,False,True
171,2016,1998.0234790246825,Kennedy Town,22.2812,114.1285,0,False,Moderate (1-2km),False,False,True
834,2016,3665.584820790188,LOHAS Park,22.2957,114.2689,0,False,Far (>2km),False,False,False
144,2016,1889.5521526815749,Causeway Bay,22.2802,114.1835,0,False,Moderate (1-2km),False,False,True
144,2016,1899.1559633562827,Causeway Bay,22.2802,114.1835,0,False,Moderate (1-2km),False,False,True
943,2016,7994.741428828269,Tung Chung,22.2893,113.9416,0,False,Far (>2km),False,False,False
165,2016,606.6087184202071,Chai Wan,22.2644,114.2368,0,False,Close (500-1000m),True,True,True
172,2016,2370.5893852976487,Kennedy Town,22.2812,114.1285,0,False,Far (>2km),False,False,True
149,2016,1791.1120618787484,Causeway Bay,22.2802,114.1835,0,False,Moderate (1-2km),False,False,True
144,2016,1631.716968496098,Causeway Bay,22.2802,114.1835,0,False,Moderate (1-2km),False,False,True
172,2016,2117.4484256581736,HKU,22.2841,114.1356,0,False,Far (>2km),False,False,False
144,2016,1683.3197099293377,Causeway Bay,22.2802,114.1835,0,False,Moderate (1-2km),False,False,True
171,2016,1762.8461176735586,Kennedy Town,22.2812,114.1285,0,False,Moderate (1-2km),False,False,True
182,2016,1995.494330473631,Admiralty,22.278399,114.16433,0,False,Moderate (1-2km),False,False,True
171,2016,1900.9548607602915,Kennedy Town,22.2812,114.1285,0,False,Moderate (1-2km),False,False,True
834,2016,10754.067184737136,LOHAS Park,22.2957,114.2689,0,False,Far (>2km),False,False,False
165,2016,407.29973416814966,Chai Wan,22.2644,114.2368,0,False,Very Close (<500m),True,True,True
167,2016,1328.7994712376226,Chai Wan,22.2644,114.2368,0,False,Moderate (1-2km),False,False,True
963,2016,6052.636247378617,Disneyland Resort,22.3155,114.0451,0,False,Far (>2km),False,False,False
163,2016,226.70213485937333,Chai Wan,22.2644,114.2368,0,False,Very Close (<500m),True,True,True
167,2016,1534.3543020028073,Chai Wan,22.2644,114.2368,0,False,Moderate (1-2km),False,True,True
165,2016,383.5604897420106,Chai Wan,22.2644,114.2368,0,False,Very Close (<500m),True,True,True
163,2016,212.49704179200876,Chai Wan,22.2644,114.2368,0,False,Very Close (<500m),True,True,True
165,2016,757.3396797471263,Chai Wan,22.2644,114.2368,0,False,Close (500-1000m),True,True,True
163,2016,364.3965222444764,Chai Wan,22.2644,114.2368,0,False,Very Close (<500m),True,True,True
144,2016,1736.4382343862007,Causeway Bay,22.2802,114.1835,0,False,Moderate (1-2km),False,False,True
190,2016,1987.5417835947571,Causeway Bay,22.2802,114.1835,0,False,Moderate (1-2km),False,False,True
163,2016,119.15814882149328,Chai Wan,22.2644,114.2368,0,False,Very Close (<500m),True,True,True
