TPU_ID,YEAR,nearest_mtr_distance,nearest_mtr_station,nearest_mtr_lat,nearest_mtr_lon,mtr_stations_count,has_mtr_station,mtr_proximity_category,within_500m_buffer,within_1000m_buffer,within_2000m_buffer
642,2001,4059.4829474052585,Lo Wu,22.5283,114.1134,0,False,Far (>2km),False,False,False
652,2001,9938.079109102648,Fanling,22.4921,114.1387,0,False,Far (>2km),False,False,False
652,2001,8935.393981543004,Fanling,22.4921,114.1387,0,False,Far (>2km),False,False,False
651,2001,6109.726506070673,Fanling,22.4921,114.1387,0,False,Far (>2km),False,False,False
641,2001,2869.0311458970623,Lo Wu,22.5283,114.1134,0,False,Far (>2km),False,False,False
743,2001,23650.278414868884,Wu Kai Sha,22.4291,114.2438,0,False,Far (>2km),False,False,False
641,2001,3365.122811841973,Lo Wu,22.5283,114.1134,0,False,Far (>2km),False,False,False
641,2001,1130.1412211670395,Lo Wu,22.5283,114.1134,0,False,Moderate (1-2km),True,True,True
653,2001,14317.798894587944,Wu Kai Sha,22.4291,114.2438,0,False,Far (>2km),False,False,False
641,2001,2462.982894019909,Lo Wu,22.5283,114.1134,0,False,Far (>2km),False,False,False
642,2001,4009.7602557184714,Lo Wu,22.5283,114.1134,0,False,Far (>2km),False,False,False
652,2001,8468.7460199177,Fanling,22.4921,114.1387,0,False,Far (>2km),False,False,False
652,2001,6675.124715009778,Fanling,22.4921,114.1387,0,False,Far (>2km),False,False,False
642,2001,4554.785593871287,Lo Wu,22.5283,114.1134,0,False,Far (>2km),False,False,False
642,2001,5346.883258820506,Lo Wu,22.5283,114.1134,0,False,Far (>2km),False,False,False
652,2001,7496.971567230561,Fanling,22.4921,114.1387,0,False,Far (>2km),False,False,False
642,2001,4093.2106777498198,Lo Wu,22.5283,114.1134,0,False,Far (>2km),False,False,False
642,2001,5412.325639871573,Sheung Shui,22.5012,114.128,0,False,Far (>2km),False,False,False
641,2001,3625.4897023320596,Lo Wu,22.5283,114.1134,0,False,Far (>2km),False,False,False
641,2001,1974.3474204436964,Lo Wu,22.5283,114.1134,0,False,Moderate (1-2km),False,False,True
641,2001,3219.547940259824,Lo Wu,22.5283,114.1134,0,False,Far (>2km),False,False,False
641,2001,3742.6967636282748,Lo Wu,22.5283,114.1134,0,False,Far (>2km),False,False,False
622,2001,2057.543323125537,Lo Wu,22.5283,114.1134,0,False,Far (>2km),False,True,True
652,2001,7063.126322992809,Fanling,22.4921,114.1387,0,False,Far (>2km),False,False,False
622,2001,424.1333846418137,Lo Wu,22.5283,114.1134,0,False,Very Close (<500m),True,True,True
641,2001,3272.369907005531,Lo Wu,22.5283,114.1134,0,False,Far (>2km),False,False,False
642,2001,6790.742270137536,Lo Wu,22.5283,114.1134,0,False,Far (>2km),False,False,False
642,2001,5970.618043250343,Lo Wu,22.5283,114.1134,0,False,Far (>2km),False,False,False
651,2001,7407.441478462996,Lo Wu,22.5283,114.1134,0,False,Far (>2km),False,False,False
651,2001,8774.064881816095,Fanling,22.4921,114.1387,0,False,Far (>2km),False,False,False
642,2001,6126.86553949304,Lo Wu,22.5283,114.1134,0,False,Far (>2km),False,False,False
652,2001,9575.457558472111,Fanling,22.4921,114.1387,0,False,Far (>2km),False,False,False
743,2001,22902.644308504652,Wu Kai Sha,22.4291,114.2438,0,False,Far (>2km),False,False,False
652,2001,7981.286378861549,Fanling,22.4921,114.1387,0,False,Far (>2km),False,False,False
743,2001,23312.925286544258,Wu Kai Sha,22.4291,114.2438,0,False,Far (>2km),False,False,False
653,2001,12713.68008668466,Wu Kai Sha,22.4291,114.2438,0,False,Far (>2km),False,False,False
642,2001,5887.735795884444,Lo Wu,22.5283,114.1134,0,False,Far (>2km),False,False,False
652,2001,10419.627898394598,Fanling,22.4921,114.1387,0,False,Far (>2km),False,False,False
642,2001,4778.500380307736,Lo Wu,22.5283,114.1134,0,False,Far (>2km),False,False,False
642,2001,5195.7818297935055,Lo Wu,22.5283,114.1134,0,False,Far (>2km),False,False,False
642,2001,6008.919121186524,Lo Wu,22.5283,114.1134,0,False,Far (>2km),False,False,False
653,2001,13834.685845098926,Wu Kai Sha,22.4291,114.2438,0,False,Far (>2km),False,False,False
653,2001,13697.83636045414,Wu Kai Sha,22.4291,114.2438,0,False,Far (>2km),False,False,False
642,2001,5002.022724021293,Lo Wu,22.5283,114.1134,0,False,Far (>2km),False,False,False
651,2001,7373.400805047346,Lo Wu,22.5283,114.1134,0,False,Far (>2km),False,False,False
652,2001,9990.146255054093,Fanling,22.4921,114.1387,0,False,Far (>2km),False,False,False
642,2001,4997.685669390067,Lo Wu,22.5283,114.1134,0,False,Far (>2km),False,False,False
743,2001,22788.577312122896,Wu Kai Sha,22.4291,114.2438,0,False,Far (>2km),False,False,False
743,2001,23092.24645821467,Wu Kai Sha,22.4291,114.2438,0,False,Far (>2km),False,False,False
652,2001,9734.71059878713,Fanling,22.4921,114.1387,0,False,Far (>2km),False,False,False
622,2001,665.6118855380811,Kwu Tung,22.50752,114.09962,0,False,Close (500-1000m),True,True,True
624,2001,1235.1254810633018,Sheung Shui,22.5012,114.128,0,False,Moderate (1-2km),False,True,True
634,2001,4930.837528761441,Fanling,22.4921,114.1387,0,False,Far (>2km),False,False,False
624,2001,1637.926838232008,Lo Wu,22.5283,114.1134,0,False,Moderate (1-2km),False,False,True
634,2001,4398.857520654582,Fanling,22.4921,114.1387,0,False,Far (>2km),False,False,False
652,2001,8895.941849918423,Fanling,22.4921,114.1387,0,False,Far (>2km),False,False,False
652,2001,8403.817130495718,Fanling,22.4921,114.1387,0,False,Far (>2km),False,False,False
653,2001,11977.982718564244,Wu Kai Sha,22.4291,114.2438,0,False,Far (>2km),False,False,False
653,2001,11870.202485379259,Wu Kai Sha,22.4291,114.2438,0,False,Far (>2km),False,False,False
652,2001,7666.70453128357,Fanling,22.4921,114.1387,0,False,Far (>2km),False,False,False
653,2001,12065.212309811723,Wu Kai Sha,22.4291,114.2438,0,False,Far (>2km),False,False,False
652,2001,7858.2627906461685,Fanling,22.4921,114.1387,0,False,Far (>2km),False,False,False
652,2001,8060.055141294213,Fanling,22.4921,114.1387,0,False,Far (>2km),False,False,False
653,2001,10122.58475008895,Fanling,22.4921,114.1387,0,False,Far (>2km),False,False,False
652,2001,8359.522066289299,Fanling,22.4921,114.1387,0,False,Far (>2km),False,False,False
641,2001,2689.273839148799,Lo Wu,22.5283,114.1134,0,False,Far (>2km),False,False,True
641,2001,1317.219701664581,Lo Wu,22.5283,114.1134,0,False,Moderate (1-2km),False,False,True
642,2001,4593.588852883723,Sheung Shui,22.5012,114.128,0,False,Far (>2km),False,False,False
652,2001,7461.083792061067,Fanling,22.4921,114.1387,0,False,Far (>2km),False,False,False
652,2001,5669.146576956281,Fanling,22.4921,114.1387,0,False,Far (>2km),False,False,False
641,2001,3862.8633790912313,Sheung Shui,22.5012,114.128,0,False,Far (>2km),False,False,False
641,2001,117.67101127840839,Lo Wu,22.5283,114.1134,1,True,Very Close (<500m),True,True,True
641,2001,1831.7865313879172,Lo Wu,22.5283,114.1134,0,False,Moderate (1-2km),False,False,True
642,2001,4566.540033051779,Fanling,22.4921,114.1387,0,False,Far (>2km),False,False,False
641,2001,1455.594635684679,Lo Wu,22.5283,114.1134,0,False,Moderate (1-2km),False,False,True
652,2001,6395.809647658423,Fanling,22.4921,114.1387,0,False,Far (>2km),False,False,False
652,2001,6683.454680210104,Fanling,22.4921,114.1387,0,False,Far (>2km),False,False,False
652,2001,7072.948002478916,Fanling,22.4921,114.1387,0,False,Far (>2km),False,False,False
641,2001,807.8120819253679,Lo Wu,22.5283,114.1134,0,False,Close (500-1000m),True,True,True
641,2001,4006.3546159745197,Sheung Shui,22.5012,114.128,0,False,Far (>2km),False,False,False
652,2001,6412.236429154271,Fanling,22.4921,114.1387,0,False,Far (>2km),False,False,False
651,2001,5302.025849276409,Fanling,22.4921,114.1387,0,False,Far (>2km),False,False,False
651,2001,4866.995806571123,Fanling,22.4921,114.1387,0,False,Far (>2km),False,False,False
641,2001,3684.0077877463805,Fanling,22.4921,114.1387,0,False,Far (>2km),False,False,False
652,2001,7604.966061731565,Fanling,22.4921,114.1387,0,False,Far (>2km),False,False,False
652,2001,5648.478854065125,Fanling,22.4921,114.1387,0,False,Far (>2km),False,False,False
653,2001,9929.788516873587,Wu Kai Sha,22.4291,114.2438,0,False,Far (>2km),False,False,False
545,2001,991.9623269614813,Kwu Tung,22.50752,114.09962,0,False,Close (500-1000m),True,True,True
641,2001,2927.870370567162,Sheung Shui,22.5012,114.128,0,False,Far (>2km),False,False,False
641,2001,3523.667716461496,Sheung Shui,22.5012,114.128,0,False,Far (>2km),False,False,False
653,2001,10036.498940813963,Wu Kai Sha,22.4291,114.2438,0,False,Far (>2km),False,False,False
542,2001,1776.831872942152,Kwu Tung,22.50752,114.09962,0,False,Moderate (1-2km),False,True,True
634,2001,4006.208264615383,Fanling,22.4921,114.1387,0,False,Far (>2km),False,False,False
629,2001,1702.518922816432,Lo Wu,22.5283,114.1134,0,False,Moderate (1-2km),False,False,True
629,2001,1619.4556087714197,Sheung Shui,22.5012,114.128,0,False,Moderate (1-2km),False,True,True
629,2001,1529.5958950776314,Lo Wu,22.5283,114.1134,0,False,Moderate (1-2km),False,False,True
622,2001,1340.706038522034,Lo Wu,22.5283,114.1134,0,False,Moderate (1-2km),False,True,True
651,2001,4518.003002712428,Fanling,22.4921,114.1387,0,False,Far (>2km),False,False,False
629,2001,1367.5244646494157,Lo Wu,22.5283,114.1134,0,False,Moderate (1-2km),False,False,True
653,2001,9798.673906790085,Wu Kai Sha,22.4291,114.2438,0,False,Far (>2km),False,False,False
622,2001,1332.4989615626062,Lo Wu,22.5283,114.1134,0,False,Moderate (1-2km),False,True,True
634,2001,3821.944693383648,Fanling,22.4921,114.1387,0,False,Far (>2km),False,False,False
634,2001,4564.187001434195,Fanling,22.4921,114.1387,0,False,Far (>2km),False,False,False
542,2001,341.02698047887174,Lok Ma Chau,22.5144,114.0657,1,True,Very Close (<500m),True,True,True
634,2001,2577.0787353110895,Fanling,22.4921,114.1387,0,False,Far (>2km),False,False,True
634,2001,4447.214221231244,Fanling,22.4921,114.1387,0,False,Far (>2km),False,False,False
626,2001,1707.9716823905937,Lo Wu,22.5283,114.1134,0,False,Moderate (1-2km),False,False,True
634,2001,4923.449892000834,Fanling,22.4921,114.1387,0,False,Far (>2km),False,False,False
634,2001,4718.38342855854,Fanling,22.4921,114.1387,0,False,Far (>2km),False,False,False
711,2001,8938.257015676736,Wu Kai Sha,22.4291,114.2438,0,False,Far (>2km),False,False,False
545,2001,684.2084775844997,Kwu Tung,22.50752,114.09962,0,False,Close (500-1000m),True,True,True
542,2001,1363.801792082997,Lok Ma Chau,22.5144,114.0657,0,False,Moderate (1-2km),False,True,True
624,2001,813.1768544994501,Sheung Shui,22.5012,114.128,0,False,Close (500-1000m),False,True,True
624,2001,588.1332792650793,Sheung Shui,22.5012,114.128,0,False,Close (500-1000m),True,True,True
624,2001,598.245221606929,Sheung Shui,22.5012,114.128,0,False,Close (500-1000m),True,True,True
622,2001,244.84956844942235,Kwu Tung,22.50752,114.09962,0,False,Very Close (<500m),True,True,True
624,2001,544.4015857102781,Sheung Shui,22.5012,114.128,0,False,Close (500-1000m),True,True,True
634,2001,4721.759683409521,Fanling,22.4921,114.1387,0,False,Far (>2km),False,False,False
624,2001,1484.4447135710093,Sheung Shui,22.5012,114.128,0,False,Moderate (1-2km),False,False,True
634,2001,3602.2361363303376,Fanling,22.4921,114.1387,0,False,Far (>2km),False,False,False
634,2001,3841.6304254800793,Fanling,22.4921,114.1387,0,False,Far (>2km),False,False,False
634,2001,3327.732034761696,Fanling,22.4921,114.1387,0,False,Far (>2km),False,False,False
634,2001,4356.1798959046855,Fanling,22.4921,114.1387,0,False,Far (>2km),False,False,False
622,2001,1020.9824035015772,Kwu Tung,22.50752,114.09962,0,False,Moderate (1-2km),True,True,True
624,2001,1153.5851146927303,Sheung Shui,22.5012,114.128,0,False,Moderate (1-2km),False,True,True
624,2001,1035.0058092229033,Sheung Shui,22.5012,114.128,0,False,Moderate (1-2km),False,True,True
