TPU_ID,YEAR,nearest_mtr_distance,nearest_mtr_station,nearest_mtr_lat,nearest_mtr_lon,mtr_stations_count,has_mtr_station,mtr_proximity_category,within_500m_buffer,within_1000m_buffer,within_2000m_buffer,year
624,2001,1637.926838232008,Lo Wu,22.5283,114.1134,0,False,Moderate (1-2km),False,False,True,2001
634,2001,4398.857520654582,Fanling,22.4921,114.1387,0,False,Far (>2km),False,False,False,2001
652,2001,8895.941849918423,Fanling,22.4921,114.1387,0,False,Far (>2km),False,False,False,2001
652,2001,8403.817130495718,Fanling,22.4921,114.1387,0,False,Far (>2km),False,False,False,2001
653,2001,11977.982718564244,Wu Kai Sha,22.4291,114.2438,0,False,Far (>2km),False,False,False,2001
653,2001,11870.20248537926,Wu Kai Sha,22.4291,114.2438,0,False,Far (>2km),False,False,False,2001
652,2001,7666.70453128357,Fanling,22.4921,114.1387,0,False,Far (>2km),False,False,False,2001
653,2001,12065.212309811724,Wu Kai Sha,22.4291,114.2438,0,False,Far (>2km),False,False,False,2001
652,2001,7858.262790646168,Fanling,22.4921,114.1387,0,False,Far (>2km),False,False,False,2001
652,2001,8060.055141294213,Fanling,22.4921,114.1387,0,False,Far (>2km),False,False,False,2001
653,2001,10122.58475008895,Fanling,22.4921,114.1387,0,False,Far (>2km),False,False,False,2001
652,2001,8359.522066289299,Fanling,22.4921,114.1387,0,False,Far (>2km),False,False,False,2001
641,2001,2689.273839148799,Lo Wu,22.5283,114.1134,0,False,Far (>2km),False,False,True,2001
641,2001,1317.219701664581,Lo Wu,22.5283,114.1134,0,False,Moderate (1-2km),False,False,True,2001
642,2001,4593.588852883723,Sheung Shui,22.5012,114.128,0,False,Far (>2km),False,False,False,2001
652,2001,7461.083792061067,Fanling,22.4921,114.1387,0,False,Far (>2km),False,False,False,2001
652,2001,5669.146576956281,Fanling,22.4921,114.1387,0,False,Far (>2km),False,False,False,2001
641,2001,3862.8633790912313,Sheung Shui,22.5012,114.128,0,False,Far (>2km),False,False,False,2001
641,2001,117.6710112784084,Lo Wu,22.5283,114.1134,1,True,Very Close (<500m),True,True,True,2001
641,2001,1831.7865313879172,Lo Wu,22.5283,114.1134,0,False,Moderate (1-2km),False,False,True,2001
642,2001,4566.540033051779,Fanling,22.4921,114.1387,0,False,Far (>2km),False,False,False,2001
641,2001,1455.594635684679,Lo Wu,22.5283,114.1134,0,False,Moderate (1-2km),False,False,True,2001
652,2001,6395.809647658423,Fanling,22.4921,114.1387,0,False,Far (>2km),False,False,False,2001
652,2001,6683.454680210104,Fanling,22.4921,114.1387,0,False,Far (>2km),False,False,False,2001
652,2001,7072.948002478916,Fanling,22.4921,114.1387,0,False,Far (>2km),False,False,False,2001
641,2001,807.8120819253679,Lo Wu,22.5283,114.1134,0,False,Close (500-1000m),True,True,True,2001
641,2001,4006.35461597452,Sheung Shui,22.5012,114.128,0,False,Far (>2km),False,False,False,2001
652,2001,6412.236429154271,Fanling,22.4921,114.1387,0,False,Far (>2km),False,False,False,2001
651,2001,5302.025849276409,Fanling,22.4921,114.1387,0,False,Far (>2km),False,False,False,2001
651,2001,4866.995806571123,Fanling,22.4921,114.1387,0,False,Far (>2km),False,False,False,2001
641,2001,3684.007787746381,Fanling,22.4921,114.1387,0,False,Far (>2km),False,False,False,2001
652,2001,7604.966061731565,Fanling,22.4921,114.1387,0,False,Far (>2km),False,False,False,2001
652,2001,5648.478854065125,Fanling,22.4921,114.1387,0,False,Far (>2km),False,False,False,2001
653,2001,9929.788516873588,Wu Kai Sha,22.4291,114.2438,0,False,Far (>2km),False,False,False,2001
545,2001,991.9623269614812,Kwu Tung,22.50752,114.09962,0,False,Close (500-1000m),True,True,True,2001
641,2001,2927.870370567162,Sheung Shui,22.5012,114.128,0,False,Far (>2km),False,False,False,2001
641,2001,3523.667716461496,Sheung Shui,22.5012,114.128,0,False,Far (>2km),False,False,False,2001
653,2001,10036.498940813965,Wu Kai Sha,22.4291,114.2438,0,False,Far (>2km),False,False,False,2001
542,2001,1776.831872942152,Kwu Tung,22.50752,114.09962,0,False,Moderate (1-2km),False,True,True,2001
634,2001,4006.208264615383,Fanling,22.4921,114.1387,0,False,Far (>2km),False,False,False,2001
629,2001,1702.518922816432,Lo Wu,22.5283,114.1134,0,False,Moderate (1-2km),False,False,True,2001
